,p,q
2016-07-01 15:15:00,32.76,0.888
2016-07-01 15:20:00,32.76,-1.888
2016-07-01 15:25:00,32.76,-4.874
2016-07-01 15:30:00,32.26,-4.796
2016-07-01 15:35:00,32.26,-4.706
2016-07-01 15:40:00,32.26,-4.605
2016-07-01 15:45:00,32.9,-4.494
2016-07-01 15:50:00,32.9,-4.374
2016-07-01 15:55:00,32.9,-1.3780000000000001
2016-07-01 16:00:00,32.75,1.835
2016-07-01 16:05:00,32.75,1.956
2016-07-01 16:10:00,32.75,5.426
2016-07-01 16:15:00,31.91,9.11
2016-07-01 16:20:00,31.91,9.233
2016-07-01 16:25:00,31.91,12.231
2016-07-01 16:30:00,31.74,15.442
2016-07-01 16:35:00,31.74,15.583
2016-07-01 16:40:00,31.74,18.592
2016-07-01 16:45:00,31.16,24.684
2016-07-01 16:50:00,31.16,27.915
2016-07-01 16:55:00,31.16,28.06
2016-07-01 17:00:00,31.2,28.215
2016-07-01 17:05:00,31.2,28.396
2016-07-01 17:10:00,31.2,31.459
2016-07-01 17:15:00,30.51,31.868000000000002
2016-07-01 17:20:00,30.51,28.997
2016-07-01 17:25:00,30.51,29.201
2016-07-01 17:30:00,29.85,29.408
2016-07-01 17:35:00,29.85,29.618000000000002
2016-07-01 17:40:00,29.85,29.832
2016-07-01 17:45:00,30.02,26.573
2016-07-01 17:50:00,30.02,23.084
2016-07-01 17:55:00,30.02,20.287
2016-07-01 18:00:00,29.65,17.278
2016-07-01 18:05:00,29.65,17.335
2016-07-01 18:10:00,29.65,17.395
2016-07-01 18:15:00,29.42,17.454
2016-07-01 18:20:00,29.42,17.308
2016-07-01 18:25:00,29.42,17.349
2016-07-01 18:30:00,27.91,11.682
2016-07-01 18:35:00,27.91,5.638999999999999
2016-07-01 18:40:00,27.91,5.745
2016-07-01 18:45:00,25.73,5.867000000000001
2016-07-01 18:50:00,25.73,6.01
2016-07-01 18:55:00,25.73,3.338
2016-07-01 19:00:00,26.3,0.509
2016-07-01 19:05:00,26.3,3.7039999999999997
2016-07-01 19:10:00,26.3,5.759
2016-07-01 19:15:00,29.77,5.79
2016-07-01 19:20:00,29.77,5.8210000000000015
2016-07-01 19:25:00,29.77,5.853
2016-07-01 19:30:00,25.16,5.886
2016-07-01 19:35:00,25.16,5.92
2016-07-01 19:40:00,25.16,5.956
2016-07-01 19:45:00,22.64,5.992000000000001
2016-07-01 19:50:00,22.64,6.029
2016-07-01 19:55:00,22.64,6.07
2016-07-01 20:00:00,25.29,6.112
2016-07-01 20:05:00,25.29,6.1739999999999995
2016-07-01 20:10:00,25.29,3.422
2016-07-01 20:15:00,24.53,0.479
2016-07-01 20:20:00,24.53,6.613
2016-07-01 20:25:00,24.53,13.137
2016-07-01 20:30:00,23.83,13.171
2016-07-01 20:35:00,23.83,13.202
2016-07-01 20:40:00,23.83,13.231
2016-07-01 20:45:00,24.82,13.257
2016-07-01 20:50:00,24.82,13.281
2016-07-01 20:55:00,24.82,13.302
2016-07-01 21:00:00,24.8,13.32
2016-07-01 21:05:00,24.8,13.339
2016-07-01 21:10:00,24.8,13.347
2016-07-01 21:15:00,24.21,10.607000000000001
2016-07-01 21:20:00,24.21,4.454
2016-07-01 21:25:00,24.21,1.048
2016-07-01 21:30:00,22.48,1.057
2016-07-01 21:35:00,22.48,1.065
2016-07-01 21:40:00,22.48,1.073
2016-07-01 21:45:00,21.64,1.079
2016-07-01 21:50:00,21.64,1.085
2016-07-01 21:55:00,21.64,1.091
2016-07-01 22:00:00,20.59,1.096
2016-07-01 22:05:00,20.59,1.0959999999999999
2016-07-01 22:10:00,20.59,1.096
2016-07-01 22:15:00,20.41,1.0959999999999999
2016-07-01 22:20:00,20.41,1.096
2016-07-01 22:25:00,20.41,1.0959999999999999
2016-07-01 22:30:00,19.56,1.096
2016-07-01 22:35:00,19.56,1.0959999999999999
2016-07-01 22:40:00,19.56,1.096
2016-07-01 22:45:00,19.51,1.0959999999999999
2016-07-01 22:50:00,19.51,1.096
2016-07-01 22:55:00,19.51,1.0959999999999999
2016-07-01 23:00:00,19.47,1.096
2016-07-01 23:05:00,19.47,1.0959999999999999
2016-07-01 23:10:00,19.47,1.096
2016-07-01 23:15:00,18.82,1.0959999999999999
2016-07-01 23:20:00,18.82,1.096
2016-07-01 23:25:00,18.82,1.0959999999999999
2016-07-01 23:30:00,18.53,1.096
2016-07-01 23:35:00,18.53,1.0959999999999999
2016-07-01 23:40:00,18.53,1.096
2016-07-01 23:45:00,18.27,1.0959999999999999
2016-07-01 23:50:00,18.27,1.096
2016-07-01 23:55:00,18.27,1.0959999999999999
2016-07-02 00:00:00,18.03,1.096
