,seconds,supply_cost,available_capacity,current_load,unresp_demand,Unnamed: 6
2021-03-09 17:35:00,45,0,0.05,4000,4.70359,24.181948
2021-03-09 17:36:00,0,0,0.05,4000,4.70525,24.09377000000001
2021-03-09 17:36:00,15,0,0.05,4000,4.7757,24.074184
2021-03-09 17:36:00,30,0,0.05,4000,4.77735,23.986362
2021-03-09 17:36:00,45,0,0.05,4000,4.77904,23.898382
2021-03-09 17:37:00,0,0,0.05,4000,4.78075,23.810224
2021-03-09 17:37:00,15,0,0.2,4000,5.05015,23.989546
2021-03-09 17:37:00,30,0,0.05,4000,5.05186,23.901754
2021-03-09 17:37:00,45,0,0.05,4000,5.0536,23.813782
2021-03-09 17:38:00,0,0,0.2,4000,5.05537,23.725624
2021-03-09 17:38:00,15,0,0.05,4000,5.14363,23.723734
2021-03-09 17:38:00,30,0,0.05,4000,5.14541,23.635964
2021-03-09 17:38:00,45,0,0.05,4000,5.14722,23.547984
2021-03-09 17:39:00,0,0,0.2,4000,5.14905,23.45979
2021-03-09 17:39:00,15,0,0.05,4000,5.14665,23.367132
2021-03-09 17:39:00,30,0,0.05,4000,5.14848,23.279322
2021-03-09 17:39:00,45,0,0.05,4000,5.15035,23.191312
2021-03-09 17:40:00,0,0,0.05,4000,5.15225,23.103086
2021-03-09 17:40:00,15,0,0.05,4000,5.0772900000000005,22.93774800000001
2021-03-09 17:40:00,30,0,0.05,4000,5.0791900000000005,22.849912
2021-03-09 17:40:00,45,0,0.05,4000,5.08113,22.761858
2021-03-09 17:41:00,0,0,0.05,4000,5.0831,22.67357
2021-03-09 17:41:00,15,0,0.05,4000,5.17088,22.670828
2021-03-09 17:41:00,30,0,0.05,4000,5.17285,22.58293
2021-03-09 17:41:00,45,0,0.05,4000,5.17486,22.494802
2021-03-09 17:42:00,0,0,0.05,4000,5.17691,22.406432
2021-03-09 17:42:00,15,0,0.05,4000,5.26452,22.403334
2021-03-09 17:42:00,30,0,0.05,4000,5.26657,22.315354
2021-03-09 17:42:00,45,0,0.2,4000,5.26866,22.227126
2021-03-09 17:43:00,0,0,0.05,4000,5.27079,22.138638
2021-03-09 17:43:00,15,0,0.05,4000,5.3944300000000025,22.17136
2021-03-09 17:43:00,30,0,0.05,4000,5.39657,22.083272
2021-03-09 17:43:00,45,0,0.05,4000,5.39874,21.994914
2021-03-09 17:44:00,0,0,0.05,4000,5.40096,21.906294
2021-03-09 17:44:00,15,0,0.05,4000,5.48822,21.902384
2021-03-09 17:44:00,30,0,0.05,4000,5.49045,21.814152
2021-03-09 17:44:00,45,0,0.05,4000,5.4927199999999985,21.72563
2021-03-09 17:45:00,0,0,0.05,4000,5.49503,21.636806
2021-03-09 17:45:00,15,0,0.05,4000,5.49161,21.541898
2021-03-09 17:45:00,30,0,0.05,4000,5.4939300000000015,21.453462
2021-03-09 17:45:00,45,0,0.05,4000,5.4963,21.364722
2021-03-09 17:46:00,0,0,0.05,4000,5.49872,21.27566
2021-03-09 17:46:00,15,0,0.05,4000,5.45892,21.143994
2021-03-09 17:46:00,30,0,0.05,4000,5.46134,21.055304
2021-03-09 17:46:00,45,0,0.05,4000,5.46382,20.96629
2021-03-09 17:47:00,0,0,0.05,4000,5.46635,20.87693
2021-03-09 17:47:00,15,0,0.05,4000,5.26345,20.581732
2021-03-09 17:47:00,30,0,0.05,4000,5.26599,20.492748
2021-03-09 17:47:00,45,0,0.05,4000,5.26858,20.4034
2021-03-09 17:48:00,0,0,0.05,4000,5.27123,20.313686
2021-03-09 17:48:00,15,0,0.05,4000,5.43013,20.379778
2021-03-09 17:48:00,30,0,0.05,4000,5.43279,20.290434
2021-03-09 17:48:00,45,0,0.05,4000,5.4355,20.20069
2021-03-09 17:49:00,0,0,0.05,4000,5.438280000000002,20.110554
2021-03-09 17:49:00,15,0,0.05,4000,5.5426699999999975,20.121554
2021-03-09 17:49:00,30,0,0.05,4000,5.54546,20.031782
2021-03-09 17:49:00,45,0,0.05,4000,5.54831,19.941584
2021-03-09 17:50:00,0,0,0.2,4000,5.55123,19.850964
2021-03-09 17:50:00,15,0,0.05,4000,5.52871,19.734394
2021-03-09 17:50:00,30,0,0.05,4000,5.53164,19.64412
2021-03-09 17:50:00,45,0,0.2,4000,5.53464,19.553394
2021-03-09 17:51:00,0,0,0.05,4000,5.5377,19.4622
2021-03-09 17:51:00,15,0,0.05,4000,5.2796699999999985,19.109364000000006
2021-03-09 17:51:00,30,0,0.05,4000,5.28275,19.01852
2021-03-09 17:51:00,45,0,0.05,4000,5.2859,18.927188
2021-03-09 17:52:00,0,0,0.05,4000,5.28913,18.835354
2021-03-09 17:52:00,15,0,0.05,4000,5.21186,18.662432
2021-03-09 17:52:00,30,0,0.05,4000,5.21511,18.570942
2021-03-09 17:52:00,45,0,0.05,4000,5.2184300000000015,18.47891
2021-03-09 17:53:00,0,0,0.05,4000,5.22182,18.38633
2021-03-09 17:53:00,15,0,0.05,4000,5.28912,18.357024
2021-03-09 17:53:00,30,0,0.05,4000,5.29254,18.2647806
2021-03-09 17:53:00,45,0,0.05,4000,5.2960400000000005,18.1719746
2021-03-09 17:54:00,0,0,0.05,4000,5.29962,18.0785796
2021-03-09 17:54:00,15,0,0.05,4000,5.29426,17.9755588
2021-03-09 17:54:00,30,0,0.05,4000,5.29787,17.8824866
2021-03-09 17:54:00,45,0,0.05,4000,5.30156,17.788800199999994
2021-03-09 17:55:00,0,0,0.05,4000,5.30535,17.6944944
2021-03-09 17:55:00,15,0,0.05,4000,5.29973,17.5900436
2021-03-09 17:55:00,30,0,0.05,4000,5.30354,17.4960446
2021-03-09 17:55:00,45,0,0.05,4000,5.30743,17.401381
2021-03-09 17:56:00,0,0,0.05,4000,5.3114300000000005,17.306058800000002
2021-03-09 17:56:00,15,0,0.05,4000,5.2874300000000005,17.1819476
2021-03-09 17:56:00,30,0,0.05,4000,5.29145,17.086920199999998
2021-03-09 17:56:00,45,0,0.05,4000,5.29557,16.991193
2021-03-09 17:57:00,0,0,0.05,4000,5.29979,16.8947486
2021-03-09 17:57:00,15,0,0.05,4000,5.02211,16.5155564
2021-03-09 17:57:00,30,0,0.2,4000,5.02635,16.419404399999998
2021-03-09 17:57:00,45,0,0.05,4000,5.0307,16.3225146
2021-03-09 17:58:00,0,0,0.05,4000,5.03515,16.2248494
2021-03-09 17:58:00,15,0,0.05,4000,4.92755,16.0142354
2021-03-09 17:58:00,30,0,0.05,4000,4.9332400000000005,16.0195618
2021-03-09 17:59:00,45,0,0.05,4000,5.06053,15.5510152
2021-03-09 17:59:00,0,0,0.05,4000,4.9407,15.326568599999998
2021-03-09 17:59:00,15,0,0.05,4000,4.94669,15.3253808
2021-03-09 17:59:00,30,0,0.2,4000,4.95281,15.3222968
2021-03-09 18:00:00,45,0,0.05,4000,4.95908,15.3172928
2021-03-09 18:00:00,0,0,0.05,4000,5.34535,15.690176199999998
2021-03-09 18:00:00,15,0,0.05,4000,5.35163,15.6823682
2021-03-09 18:00:00,30,0,0.05,4000,5.35806,15.6726012
2021-03-09 18:01:00,45,0,0.2,4000,5.36463,15.6608232
2021-03-09 18:01:00,0,0,0.05,4000,5.43236,15.7080128
2021-03-09 18:01:00,15,0,0.05,4000,5.43898,15.6930484
2021-03-09 18:01:00,30,0,0.05,4000,5.44574,15.6760148
2021-03-09 18:02:00,45,0,0.05,4000,5.45264,15.6568736
2021-03-09 18:02:00,0,0,0.05,4000,5.68278,15.858685199999998
2021-03-09 18:02:00,15,0,0.05,4000,5.68971,15.8364162
2021-03-09 18:02:00,30,0,0.05,4000,5.6968,15.8120158
2021-03-09 18:03:00,45,0,0.05,4000,5.70402,15.7854198
2021-03-09 18:03:00,0,0,0.05,4000,5.6983,15.743525199999995
2021-03-09 18:03:00,15,0,0.05,4000,5.70554,15.6124562
2021-03-09 18:03:00,30,0,0.05,4000,5.71292,15.4802156
2021-03-09 18:04:00,45,0,0.05,4000,5.72043,15.9360396
2021-03-09 18:04:00,0,0,0.05,4000,5.5692900000000005,15.7409496
2021-03-09 18:04:00,15,0,0.05,4000,5.35993,15.391039
2021-03-09 18:04:00,30,0,0.05,4000,5.35949,15.4333394
2021-03-09 18:05:00,45,0,0.05,4000,5.3590800000000005,15.4812612
2021-03-09 18:05:00,0,0,0.05,4000,5.33811,15.5143086
2021-03-09 18:05:00,15,0,0.05,4000,5.33775,15.566325
2021-03-09 18:05:00,30,0,0.05,4000,5.3374,15.62401
2021-03-09 18:06:00,45,0,0.05,4000,5.33707,15.6874804
2021-03-09 18:06:00,0,0,0.05,4000,5.35224,15.7723266
